,,,Driver 1 Run 1,,,,Driver 1 Run 2,,,,Driver 2 Run 1,,,,Driver 2 Run 2,,,,,,
25,21,Oklahoma State Univ,5.550,5.486,4,6.018,5.736,5.520,,5.628,6.020,5.520,1,5.895,5.537,5.366,,5.451,5.451,,55.74
26,87,Univ of Georgia,6.327,5.690,1,6.133,6.200,5.496,,5.848,6.980,5.556,,6.268,5.506,5.413,,5.459,5.459,,55.22
27,99,Univ of North Florida,5.727,5.784,,5.755,5.473,5.474,,5.473,5.573,5.627,2,5.850,5.693,5.634,,5.663,5.473,,54.3
28,105,Univ of Southern California,5.980,5.650,,5.815,5.614,5.340,,5.477,,,,DNA,,,,DNA,5.477,,54.04
29,16,Villanova Univ,6.027,5.810,,DNF,5.740,5.606,,5.673,5.507,5.453,,5.480,5.400,,,DNF,5.480,,53.85
30,91,Mississippi State Univ,5.767,,,DNF,5.643,5.507,,5.575,6.074,5.887,,5.980,5.380,5.617,,5.498,5.498,,52.69
31,135,Univ of Wisconsin - Madison,5.713,5.490,,5.601,5.673,5.344,,5.508,5.990,5.600,,5.795,5.747,5.380,,5.563,5.508,,52.05
32,83,Univ of South Florida,5.493,5.837,,5.665,5.833,6.073,3,6.328,5.967,5.590,,5.778,5.494,5.524,,5.509,5.509,,51.99
33,38,North Carolina State Univ - Raleigh,5.440,5.607,,5.523,5.737,5.520,,5.628,6.223,5.787,,6.005,6.190,5.433,,5.811,5.523,,51.1
34,145,Instituto Maua de Tecnologia,6.277,,,DNF,5.577,5.476,1,5.651,5.686,5.690,,5.688,5.596,5.490,,5.543,5.543,,49.84
35,89,Southern Illinois Univ - Carbondale,5.693,5.676,,5.684,5.577,5.530,,5.553,6.067,,1,DNF,5.677,5.780,,5.728,5.553,,49.21
36,40,Universite de Sherbrooke,5.720,5.717,,5.718,5.600,5.537,,5.568,6.093,5.590,,5.841,5.487,5.590,1,5.663,5.568,,48.28
37,109,Temple Univ,5.633,5.526,,5.579,5.747,5.690,,5.718,5.973,5.670,1,5.946,6.403,5.937,,6.170,5.579,,47.61
